"date","btc_close","eth_close","spx_close","ndx_close","vix_close","btc_ret","eth_ret","spx_ret","ndx_ret","dvix","days_since_prev","is_multiday","covid","tighten","etf","price_source","in_sample"
2019-11-04,9412.6123046875,186.355194091797,3078.27001953125,8433.2001953125,12.8299999237061,0.0162272073362182,0.012882371431977,0.00369724580531283,0.00556492708903988,0.529999732971191,3,1,0,0,0,"Yahoo Finance",FALSE
2019-11-05,9342.52734375,189.304168701172,3074.6201171875,8434.6796875,13.1000003814697,-0.00747371530956542,0.0157005813249667,-0.00118640271182002,0.000175421238658657,0.270000457763672,1,0,0,0,0,"Yahoo Finance",FALSE
2019-11-06,9360.8798828125,191.593841552734,3076.78002929688,8410.6298828125,12.6199998855591,0.00196248145916122,0.0120226431733403,0.000702250592288678,-0.00285537299593841,-0.480000495910645,1,0,0,0,0,"Yahoo Finance",FALSE
2019-11-07,9267.5615234375,187.976547241211,3085.17993164062,8434.51953125,12.7299995422363,-0.0100189960017421,-0.0190605164798603,0.00272637524428099,0.00283638498732763,0.109999656677246,1,0,0,0,0,"Yahoo Finance",FALSE
2019-11-08,8804.880859375,184.211471557617,3093.080078125,8475.3095703125,12.0699996948242,-0.051214083806272,-0.0202328067205393,0.00255740314511677,0.004824427016203,-0.659999847412109,1,0,0,0,0,"Yahoo Finance",FALSE
2019-11-11,8757.7880859375,185.489639282227,3087.01000976562,8464.2802734375,12.6899995803833,-0.00536283937822368,0.00691462795097664,-0.00196439541333859,-0.00130219191081693,0.619999885559082,3,1,0,0,0,"Yahoo Finance",FALSE
2019-11-12,8815.662109375,186.843414306641,3091.84008789062,8486.08984375,12.6800003051758,0.00658655324044766,0.0072718818650408,0.00156342330126336,0.0025733458558328,-0.00999927520751953,1,0,0,0,0,"Yahoo Finance",FALSE
2019-11-13,8808.2626953125,188.258743286133,3094.0400390625,8482.099609375,13,-0.000839701097149259,0.00754640125382711,0.00071128157011735,-0.000470319412636755,0.319999694824219,1,0,0,0,0,"Yahoo Finance",FALSE
2019-11-14,8708.0947265625,185.999633789062,3096.6298828125,8479.01953125,13.0500001907349,-0.011437202181483,-0.012072605845268,0.000836692614456069,-0.000363192797989242,0.0500001907348633,1,0,0,0,0,"Yahoo Finance",FALSE
2019-11-15,8491.9921875,180.521179199219,3120.4599609375,8540.830078125,12.0500001907349,-0.0251293975638376,-0.0298965976619217,0.0076660287779724,0.00726338011635974,-1,1,0,0,0,0,"Yahoo Finance",FALSE
