"date","btc_close","eth_close","btc_ret","eth_ret","btc_close_cg","btc_mcap_cg","btc_volume_cg","eth_close_cg","eth_mcap_cg","eth_volume_cg","btc_volume_yf","eth_volume_yf","price_source","in_sample"
2019-11-01,9261.1044921875,183.96989440918,NA,NA,NA,NA,NA,NA,NA,NA,24324691031,9145611130,"Yahoo Finance",FALSE
2019-11-02,9324.7177734375,183.925720214844,0.0068453823292387,-0.000240145262908165,NA,NA,NA,NA,NA,NA,21242676385,8087991830,"Yahoo Finance",FALSE
2019-11-03,9235.3544921875,182.425018310547,-0.00962970084741244,-0.0081927515931941,NA,NA,NA,NA,NA,NA,21132220847,8760247744,"Yahoo Finance",FALSE
2019-11-04,9412.6123046875,186.355194091797,0.0190115258543919,0.0213152682880793,NA,NA,NA,NA,NA,NA,26170255634,10551917945,"Yahoo Finance",FALSE
2019-11-05,9342.52734375,189.304168701172,-0.00747371530956542,0.0157005813249667,NA,NA,NA,NA,NA,NA,26198609048,10024177342,"Yahoo Finance",FALSE
2019-11-06,9360.8798828125,191.593841552734,0.00196248145916122,0.0120226431733403,NA,NA,NA,NA,NA,NA,23133895765,10156458684,"Yahoo Finance",FALSE
2019-11-07,9267.5615234375,187.976547241211,-0.0100189960017421,-0.0190605164798603,NA,NA,NA,NA,NA,NA,22700383839,9081247799,"Yahoo Finance",FALSE
2019-11-08,8804.880859375,184.211471557617,-0.051214083806272,-0.0202328067205393,NA,NA,NA,NA,NA,NA,24333037836,9176780911,"Yahoo Finance",FALSE
2019-11-09,8813.58203125,185.028717041016,0.000987733451712103,0.00442664066987675,NA,NA,NA,NA,NA,NA,17578630606,7277418704,"Yahoo Finance",FALSE
2019-11-10,9055.5263671875,189.477279663086,0.0270812753610041,0.0237580808167843,NA,NA,NA,NA,NA,NA,20587919881,8752784211,"Yahoo Finance",FALSE
2019-11-11,8757.7880859375,185.489639282227,-0.0334318481909399,-0.0212700935356844,NA,NA,NA,NA,NA,NA,20265510765,7877424106,"Yahoo Finance",FALSE
2019-11-12,8815.662109375,186.843414306641,0.00658655324044766,0.0072718818650408,NA,NA,NA,NA,NA,NA,20309769107,7792186666,"Yahoo Finance",FALSE
2019-11-13,8808.2626953125,188.258743286133,-0.000839701097149259,0.00754640125382711,NA,NA,NA,NA,NA,NA,17545755405,7343173596,"Yahoo Finance",FALSE
2019-11-14,8708.0947265625,185.999633789062,-0.011437202181483,-0.012072605845268,NA,NA,NA,NA,NA,NA,19084739975,7872664470,"Yahoo Finance",FALSE
2019-11-15,8491.9921875,180.521179199219,-0.0251293975638376,-0.0298965976619217,NA,NA,NA,NA,NA,NA,21796856471,8815678477,"Yahoo Finance",FALSE
2019-11-16,8550.7607421875,183.348358154297,0.00689663082793857,0.0155398325959553,NA,NA,NA,NA,NA,NA,16495389808,6789888120,"Yahoo Finance",FALSE
